year,technology,schedule_gw,multiplier,effective_increment_gw
2025,晶硅,80.0,1.4,112.0
2026,晶硅,78.8,1.4,110.32
2027,晶硅,77.6,1.4,108.63999999999999
2028,晶硅,76.4,1.4,106.96000000000001
2029,晶硅,75.2,1.4,105.28
2030,晶硅,74.0,1.4,103.6
2031,晶硅,72.8,1.4,101.91999999999999
2032,晶硅,71.6,1.4,100.23999999999998
2033,晶硅,70.4,1.4,98.56
2034,晶硅,69.2,1.4,96.88
2035,晶硅,68.0,1.4,95.19999999999999
2036,晶硅,66.8,1.4,93.52
2037,晶硅,65.6,1.4,91.83999999999999
2038,晶硅,64.4,1.4,90.16
2039,晶硅,63.2,1.4,88.48
2040,晶硅,62.0,1.4,86.8
2041,晶硅,60.8,1.4,85.11999999999999
2042,晶硅,59.6,1.4,83.44
2043,晶硅,58.4,1.4,81.75999999999999
2044,晶硅,57.2,1.4,80.08
2045,晶硅,56.0,1.4,78.39999999999999
2046,晶硅,54.8,1.4,76.71999999999998
2047,晶硅,53.6,1.4,75.03999999999999
2048,晶硅,52.400000000000006,1.4,73.36
2049,晶硅,51.2,1.4,71.67999999999999
2050,晶硅,50.0,1.4,70.0
2025,钙钛矿,5.0,1.4,7.0
2026,钙钛矿,9.0,1.4,12.6
2027,钙钛矿,13.0,1.4,18.2
2028,钙钛矿,17.0,1.4,23.799999999999997
2029,钙钛矿,21.0,1.4,29.4
2030,钙钛矿,25.0,1.4,35.0
2031,钙钛矿,29.0,1.4,40.599999999999994
2032,钙钛矿,33.0,1.4,46.199999999999996
2033,钙钛矿,37.0,1.4,51.8
2034,钙钛矿,41.0,1.4,57.4
2035,钙钛矿,45.0,1.4,62.99999999999999
2036,钙钛矿,49.0,1.4,68.6
2037,钙钛矿,53.0,1.4,74.19999999999999
2038,钙钛矿,57.0,1.4,79.8
2039,钙钛矿,61.0,1.4,85.39999999999999
2040,钙钛矿,65.0,1.4,91.0
2041,钙钛矿,69.0,1.4,96.6
2042,钙钛矿,73.0,1.4,102.19999999999999
2043,钙钛矿,77.0,1.4,107.8
2044,钙钛矿,81.0,1.4,113.39999999999999
2045,钙钛矿,85.0,1.4,118.99999999999999
2046,钙钛矿,89.0,1.4,124.6
2047,钙钛矿,93.0,1.4,130.2
2048,钙钛矿,97.0,1.4,135.79999999999998
2049,钙钛矿,100.0,1.4,140.0
2050,钙钛矿,100.0,1.4,140.0
2025,叠层,0.0,1.4,0.0
2026,叠层,0.0,1.4,0.0
2027,叠层,0.0,1.4,0.0
2028,叠层,0.0,1.4,0.0
2029,叠层,0.0,1.4,0.0
2030,叠层,3.0,1.4,4.199999999999999
2031,叠层,6.0,1.4,8.399999999999999
2032,叠层,9.0,1.4,12.6
2033,叠层,12.0,1.4,16.799999999999997
2034,叠层,15.0,1.4,21.0
2035,叠层,18.0,1.4,25.2
2036,叠层,21.0,1.4,29.4
2037,叠层,24.0,1.4,33.599999999999994
2038,叠层,27.0,1.4,37.8
2039,叠层,30.0,1.4,42.0
2040,叠层,33.0,1.4,46.199999999999996
2041,叠层,36.0,1.4,50.4
2042,叠层,39.0,1.4,54.599999999999994
2043,叠层,42.0,1.4,58.8
2044,叠层,45.0,1.4,62.99999999999999
2045,叠层,48.0,1.4,67.19999999999999
2046,叠层,51.0,1.4,71.39999999999999
2047,叠层,54.0,1.4,75.6
2048,叠层,57.0,1.4,79.8
2049,叠层,60.0,1.4,84.0
2050,叠层,63.0,1.4,88.19999999999999
