dataset,province,metric,year,value,unit,current_source_name,current_source_url,current_source_doc,retrieved_date,current_audit_status,row_level_official_url,row_level_official_document_id,row_level_official_status,required_evidence,next_action
provincial_pv_capacity_2024,山东,scaled PV capacity,2024,76.214,GW,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,complete,Official provincial or national table that reports the 2024 province value or a reproducible official aggregation path,No action for this row
provincial_pv_capacity_2024,河北,scaled PV capacity,2024,72.099,GW,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,complete,Official provincial or national table that reports the 2024 province value or a reproducible official aggregation path,No action for this row
provincial_pv_capacity_2024,江苏,scaled PV capacity,2024,61.712,GW,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,complete,Official provincial or national table that reports the 2024 province value or a reproducible official aggregation path,No action for this row
provincial_pv_capacity_2024,浙江,scaled PV capacity,2024,47.324,GW,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,complete,Official provincial or national table that reports the 2024 province value or a reproducible official aggregation path,No action for this row
provincial_pv_capacity_2024,山西,scaled PV capacity,2024,34.804,GW,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,complete,Official provincial or national table that reports the 2024 province value or a reproducible official aggregation path,No action for this row
provincial_pv_capacity_2024,内蒙古,scaled PV capacity,2024,48.159,GW,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,complete,Official provincial or national table that reports the 2024 province value or a reproducible official aggregation path,No action for this row
provincial_pv_capacity_2024,新疆,scaled PV capacity,2024,56.807,GW,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,complete,Official provincial or national table that reports the 2024 province value or a reproducible official aggregation path,No action for this row
provincial_pv_capacity_2024,宁夏,scaled PV capacity,2024,26.267,GW,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,complete,Official provincial or national table that reports the 2024 province value or a reproducible official aggregation path,No action for this row
provincial_pv_capacity_2024,青海,scaled PV capacity,2024,36.458,GW,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,complete,Official provincial or national table that reports the 2024 province value or a reproducible official aggregation path,No action for this row
provincial_pv_capacity_2024,甘肃,scaled PV capacity,2024,31.421,GW,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,complete,Official provincial or national table that reports the 2024 province value or a reproducible official aggregation path,No action for this row
