province,reporting_region,year,pv_utilization_rate_pct_2023,pv_utilization_rate_pct_2024,source_name,source_url,source_doc,retrieved_date,source_audit_status,source_note
全国,全国,2024,98.0,96.8,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,2024 National renewable power development monitoring and evaluation result Table 4,2026-07-01,row-level official complete,Official NEA Table 4 reports national PV generation utilization rate
北京,北京,2024,100.0,99.8,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,2024 National renewable power development monitoring and evaluation result Table 4,2026-07-01,row-level official complete,Official NEA Table 4 reports PV generation utilization rate
天津,天津,2024,100.0,99.0,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,2024 National renewable power development monitoring and evaluation result Table 4,2026-07-01,row-level official complete,Official NEA Table 4 reports PV generation utilization rate
河北,河北,2024,97.5,96.1,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,2024 National renewable power development monitoring and evaluation result Table 4,2026-07-01,row-level official complete,Official NEA Table 4 reports PV generation utilization rate
山西,山西,2024,98.9,98.2,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,2024 National renewable power development monitoring and evaluation result Table 4,2026-07-01,row-level official complete,Official NEA Table 4 reports PV generation utilization rate
山东,山东,2024,99.3,98.5,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,2024 National renewable power development monitoring and evaluation result Table 4,2026-07-01,row-level official complete,Official NEA Table 4 reports PV generation utilization rate
内蒙古,蒙西,2024,96.6,93.7,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,2024 National renewable power development monitoring and evaluation result Table 4,2026-07-01,row-level official complete,Official NEA Table 4 reports western Inner Mongolia grid region separately
内蒙古,蒙东,2024,98.7,97.3,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,2024 National renewable power development monitoring and evaluation result Table 4,2026-07-01,row-level official complete,Official NEA Table 4 reports eastern Inner Mongolia grid region separately
辽宁,辽宁,2024,99.3,97.2,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,2024 National renewable power development monitoring and evaluation result Table 4,2026-07-01,row-level official complete,Official NEA Table 4 reports PV generation utilization rate
吉林,吉林,2024,97.1,97.5,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,2024 National renewable power development monitoring and evaluation result Table 4,2026-07-01,row-level official complete,Official NEA Table 4 reports PV generation utilization rate
黑龙江,黑龙江,2024,99.1,96.7,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,2024 National renewable power development monitoring and evaluation result Table 4,2026-07-01,row-level official complete,Official NEA Table 4 reports PV generation utilization rate
上海,上海,2024,100.0,100.0,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,2024 National renewable power development monitoring and evaluation result Table 4,2026-07-01,row-level official complete,Official NEA Table 4 reports PV generation utilization rate
江苏,江苏,2024,100.0,99.9,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,2024 National renewable power development monitoring and evaluation result Table 4,2026-07-01,row-level official complete,Official NEA Table 4 reports PV generation utilization rate
浙江,浙江,2024,100.0,100.0,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,2024 National renewable power development monitoring and evaluation result Table 4,2026-07-01,row-level official complete,Official NEA Table 4 reports PV generation utilization rate
安徽,安徽,2024,100.0,99.9,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,2024 National renewable power development monitoring and evaluation result Table 4,2026-07-01,row-level official complete,Official NEA Table 4 reports PV generation utilization rate
福建,福建,2024,100.0,100.0,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,2024 National renewable power development monitoring and evaluation result Table 4,2026-07-01,row-level official complete,Official NEA Table 4 reports PV generation utilization rate
江西,江西,2024,99.9,99.0,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,2024 National renewable power development monitoring and evaluation result Table 4,2026-07-01,row-level official complete,Official NEA Table 4 reports PV generation utilization rate
河南,河南,2024,97.7,98.1,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,2024 National renewable power development monitoring and evaluation result Table 4,2026-07-01,row-level official complete,Official NEA Table 4 reports PV generation utilization rate
